Title,Year,Authors,Included_(Y=yes_N=No),Comments
Targeting abnormal NRF2/HO-1 signaling in amyotrophic lateral sclerosis: Current insights on drug targets and influences on neurological disorders,2021,"Minj, E.; Yadav, R.K.; Mehan, S.",N,The study focuses on ALS and does not mention Parkinson's or any of the specified air pollutants.
Targeting antioxidants to mitochondria and cardiovascular diseases: The effects of mitoquinone,2007,"Rocha, M.; Víctor, V.M.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on mitochondrial effects in cardiovascular diseases."
Targeting heme oxygenase-1 for neuroprotection and neuroinflammation in neurodegenerative diseases,2010,"Jaźwa-Kusior, A.; Cuadrado, A.",N,The article is a review and does not present primary or secondary observational study data.
Targeting mitochondrial bioenergetics as a promising therapeutic strategy in metabolic and neurodegenerative diseases,2022,"Bhatti, G.K.; Gupta, A.; Pahwa, P.; Khullar, N.; Singh, S.; Navik, U.; Kumar, S.; Mastana, S.S.; Reddy, A.P.; Reddy, P.H.; Bhatti, J.S.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
Targeting optimal time for hyperbaric oxygen therapy following carbon monoxide poisoning for prevention of delayed neuropsychiatric sequelae: A retrospective study,2019,"Liao, S.-C.; Mao, Y.-C.; Yang, K.-J.; Wang, K.-C.; Wu, L.-Y.; Yang, C.-C.",N,"The study focuses on delayed neuropsychiatric sequelae from CO poisoning, not explicitly linking Parkinson's as an adverse health outcome."
TDP-43 CSF Concentrations Increase Exponentially with Age in Metropolitan Mexico City Young Urbanites Highly Exposed to PM(2.5) and Ultrafine Particles and Historically Showing Alzheimer and Parkinson's Hallmarks. Brain TDP-43 Pathology in MMC Residents Is Associated with High Cisternal CSF TDP-43 Concentrations,2022,"Calderón-Garcidueñas, Lilian; Stommel, Elijah W.; Lachmann, Ingolf; Waniek, Katharina; Chao, Chih-Kai; González-Maciel, Angélica; García-Rojas, Edgar; Torres-Jardón, Ricardo; Delgado-Chávez, Ricardo; Mukherjee, Partha S.",N,"The study focuses on PM2.5 and does not explicitly link Parkinson's to the specified air pollutants CO, O3, NO2."
Tertiary contact formation in α-synuclein probed by electron transfer,2005,"Lee, J.C.; Gray, H.B.; Winkler, J.R.",N,The study does not mention any air pollutants or link them to Parkinson's disease.
TFEB/LAMP2 contributes to PM(0.2)-induced autophagy-lysosome dysfunction and alpha-synuclein dysregulation in astrocytes,2024,"Li, Ben; Liu, Ting; Shen, Yongmei; Qin, Jiangnan; Chang, Xiaohan; Wu, Meiqiong; Guo, Jianquan; Liu, Liangpo; Wei, Cailing; Lyu, Yi; Tian, Fengjie; Yin, Jinzhu; Wang, Tong; Zhang, Wenping; Qiu, Yulan",N,"The study focuses on PM0.2 and does not mention the required air pollutants CO, O3, NO2 related to Parkinson's."
Thalamic GABA levels and occupational manganese neurotoxicity: Association with exposure levels and brain MRI,2018,"Ma, Ruoyun E.; Ward, Eric J.; Yeh, Chien-Lin; Snyder, Sandy; Long, Zaiyang; Gokalp Yavuz, Fulya; Zauber, S. Elizabeth; Dydak, Ulrike",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
"The 2022 symposium on dementia and brain aging in low- and middle-income countries: Highlights on research, diagnosis, care, and impact",2024,"Kalaria, Raj; Maestre, Gladys; Mahinrad, Simin; Acosta, Daisy M.; Akinyemi, Rufus Olusola; Alladi, Suvarna; Allegri, Ricardo F.; Arshad, Faheem; Babalola, David Oluwasayo; Baiyewu, Olusegun; Bak, Thomas H.; Bellaj, Tarek; Brodie-Mends, David K.; Carrillo, Maria C.; Celestin, Kaputu-Kalala-Malu; Damasceno, Albertino; de Silva, Ranil Karunamuni; de Silva, Rohan; Djibuti, Mamuka; Dreyer, Anna Jane; Ellajosyula, Ratnavalli; Farombi, Temitope H.; Friedland, Robert P.; Garza, Noe; Gbessemehlan, Antoine; Georgiou, Eliza Eleni-Zacharoula; Govia, Ishtar; Grinberg, Lea T.; Guerchet, Maëlenn; Gugssa, Seid Ali; Gumikiriza-Onoria, Joy Louise; Hogervorst, Eef; Hornberger, Michael; Ibanez, Agustin; Ihara, Masafumi; Issac, Thomas Gregor; Jönsson, Linus; Karanja, Wambui M.; Lee, Joseph H.; Leroi, Iracema; Livingston, Gill; Manes, Facundo Francisco; Mbakile-Mahlanza, Lingani; Miller, Bruce L.; Musyimi, Christine Wayua; Mutiso, Victoria N.; Nakasujja, Noeline; Ndetei, David M.; Nightingale, Sam; Novotn... ### LONG-TEXT-TRUNCATED-BY-CATCHII ###",N,"The article does not mention air pollutants or Parkinson's disease, focusing solely on dementia in low- and middle-income countries."
The adverse effects of air pollution on the nervous system,2012,"Genc, S.; Zadeoğluları, Z.; Fuss, S.H.; Genç, K.",N,"No specific air pollutants CO, O3, NO2 mentioned only general air pollution effects discussed."
The Air We Breathe: Air Pollution as a Prevalent Proinflammatory Stimulus Contributing to Neurodegeneration,2021,"Jankowska-Kieltyka, Monika; Roman, Adam; Nalepa, Irena",N,"No air pollutants CO, O3, NO2 mentioned only discusses particulate matter PM and does not explicitly link Parkinson's to air pollution."
The airborne microflora of poultry houses,1981,"Sauter, E. A.; Petersen, C. F.; Steele, E. E.; Parkinson, J. F.; Dixon, J. E.; Stroh, R. C.",N,"The study does not mention air pollutants or Parkinson's disease, focusing instead on airborne microflora in poultry houses."
The association between intermediate-term sulfur dioxide exposure and outpatient visits for Parkinson’s disease: a time-series study in southwestern China,2023,"Hu, Y.; Zhou, C.; Tan, C.; Liu, J.; Huang, X.; Liu, X.; Yao, C.; Li, D.; Huang, Q.; Li, N.; Long, J.; Li, X.; Li, Y.; Zhou, L.; Cai, T.",N,"The study focuses on sulfur dioxide SO, which is not one of the specified air pollutants CO, O3, NO2."
The association between long-term air pollution and urinary catecholamines: Evidence from the multi-ethnic study of atherosclerosis,2019,"Hajat, A.; Diez-Roux, A.V.; Castro-Diehl, C.; Cosselman, K.; Golden, S.H.; Hazlehurst, M.F.; Szpiro, A.; Vedal, S.; Kaufman, J.D.",N,No mention of Parkinson's as an adverse health outcome related to air pollutants.
The association between PM(2.5) exposure and neurological disorders: A systematic review and meta-analysis,2019,"Fu, Pengfei; Guo, Xinbiao; Cheung, Felix Man Ho; Yung, Ken Kin Lam",N,"The study focuses on PM2.5 and does not mention the required air pollutants CO, O3, NO2 related to Parkinson's."
"The Body, the Brain, the Environment, and Parkinson's Disease",2024,"Dorsey, E. Ray; De Miranda, Briana R.; Horsager, Jacob; Borghammer, Per",N,"No specific air pollutants CO, O3, NO2 are mentioned in relation to Parkinson's disease."
The brain lesion responsible for parkinsonism after carbon monoxide poisoning,2000,"Sohn, Y.H.; Jeong, Y.; Kim, H.S.; Im, J.H.; Kim, J.-S.",N,"This is a case report, not an observational study, and does not meet the inclusion criteria."
The bulky N6 substituent of cabergoline is responsible for agonism of this drug at 5-hydroxytryptamine 5-HT2A and 5-HT2B receptors and thus is a determinant of valvular heart disease,2011,"Kekewska, Alexandra; Hübner, Harald; Gmeiner, Peter; Pertz, Heinz H.",N,"The study does not mention air pollutants or link Parkinson's to them, focusing instead on valvular heart disease."
The compensatory antioxidant response system with a focus on neuroprogressive disorders,2019,"Morris, G.; Puri, B.K.; Walker, A.J.; Berk, M.; Walder, K.; Bortolasci, C.C.; Marx, W.; Carvalho, A.F.; Maes, M.",N,The study does not explicitly mention Parkinson's as an adverse health outcome related to air pollutants.
The cytosolic DNA-sensing cGAS–STING pathway in neurodegenerative diseases,2024,"Guo, X.; Yang, L.; Wang, J.; Wu, Y.; Li, Y.; Du, L.; Li, L.; Fang, Z.; Zhang, X.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
"The discovery of a highly selective 5,6,7,8-tetrahydrobenzo[4,5]thieno[2,3-d]pyrimidin-4(3H)-one SIRT2 inhibitor that is neuroprotective in an in vitro Parkinson's disease model",2015,"Di Fruscia, Paolo; Zacharioudakis, Emmanouil; Liu, Chang; Moniot, Sébastien; Laohasinnarong, Sasiwan; Khongkow, Mattaka; Harrison, Ian F.; Koltsida, Konstantina; Reynolds, Christopher R.; Schmidtkunz, Karin; Jung, Manfred; Chapman, Kathryn L.; Steegborn, Clemens; Dexter, David T.; Sternberg, Michael J. E.; Lam, Eric W.-F.; Fuchter, Matthew J.",N,"The study is experimental and focuses on a drug, not observational research on air pollutants and Parkinson's."
The diverse biological functions of glutathione S-transferase omega in Drosophila,2013,"Kim, K.; Yim, J.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
The effect of air pollution on hospitalizations with Parkinson’s disease among medicare beneficiaries nationwide,2024,"Wang, V.A.; Delaney, S.; Flynn, L.E.; Racette, B.A.; Miller, G.W.; Braun, D.; Zanobetti, A.; Mork, D.",N,"Study focuses on PM, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
The effect of hydrogen sulfide donors on lipopolysaccharide-induced formation of inflammatory mediators in macrophages,2010,"Whiteman, Matthew; Li, Ling; Rose, Peter; Tan, Choon-Hong; Parkinson, David B.; Moore, Philip K.",N,The study does not mention any of the specified air pollutants or Parkinson's as an adverse health outcome.
The effect of long-term exposure to toxic air pollutants on the increased risk of malignant brain tumors,2023,"Nikmanesh, Yousef; Mohammadi, Mohammad Javad; Yousefi, Homayon; Mansourimoghadam, Sara; Taherian, Masoume",N,"No specific mention of the required air pollutants CO, O3, NO2 or their relation to Parkinson's disease."
The effect of occupational exposure to manganese dust and fume on neuropsychological functioning in Australian smelter workers,2011,"Summers, M. J.; Summers, J. J.; White, T. F.; Hannan, G. J.",N,"No air pollutants CO, O3, NO2 mentioned focuses on manganese exposure instead."
The effect of oxide additions on medium-range order structures in borosilicate glasses,2007,"Parkinson, B. G.; Holland, D.; Smith, M. E.; Howes, A. P.; Scales, C. R.",N,The article does not mention air pollutants or Parkinson's disease.
The Effects of Air Pollution on Neurological Diseases: A Narrative Review on Causes and Mechanisms,2025,"Lane, M.; Oyster, E.; Luo, Y.; Wang, H.",N,"This is a narrative review, not an observational study, and does not meet the inclusion criteria."
The effects of genetic and modifiable risk factors on brain regions vulnerable to ageing and disease,2024,"Manuello, J.; Min, J.; McCarthy, P.; Alfaro-Almagro, F.; Lee, S.; Smith, S.; Elliott, L.T.; Winkler, A.M.; Douaud, G.",Y,"The study mentions nitrogen dioxide and explicitly links Parkinson's disease to air pollution, meeting inclusion criteria."
"The efficacy and safety of varenicline alone versus in combination with nicotine lozenges for smoking cessation among hospitalised smokers (VANISH): study protocol for a randomised, placebo-controlled trial",2020,"Gobarani, Rukshar Kaizerali; Abramson, Michael J.; Bonevski, Billie; Weeks, Gregory R.; Dooley, Michael J.; Smith, Brian J.; Veale, Antony; Webb, Ashley; Kirsa, Sue; Thomas, Dennis; Miller, Alistair; Gasser, Rudi; Paul, Eldho; Parkinson, Jacqueline; Meanger, Darshana; Coward, Lisa; Kopsaftis, Zoe; Rofe, Olivia; Lee, Paula; George, Johnson",N,The study is a randomized trial on smoking cessation and does not focus on air pollution or Parkinson's disease.
The heme oxygenase/biliverdin reductase pathway in drug research and development,2009,"Mancuso, C.; Barone, E.",N,The study focuses on drug research and does not mention Parkinson's or link air pollutants to health outcomes.
The Heme Oxygenase/Biliverdin Reductase System and Its Genetic Variants in Physiology and Diseases,2025,"Mancuso, C.",N,Does not focus on air pollution or its relation to Parkinson's only mentions CO without linking it to health outcomes.
The Impact of Air Pollution on Neurodegenerative Diseases,2021,"Wang, Jian; Ma, Tengfei; Ma, Ding; Li, Huimin; Hua, Li; He, Qing; Deng, Xiaobei",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, and does not meet inclusion criteria."
The Impact of Air Pollution on Neurological and Psychiatric Health,2024,"Sethi, Y.; Agarwal, P.; Vora, V.; Gosavi, S.",N,"No air pollutant mentioned only fine particulate matter PM is referenced, which does not meet inclusion criteria."
The impact of air pollution to central nervous system in children and adults,2017,"Šrǎm, R.J.; Velemínský, M.; Stejskalova, J.",Y,"The study mentions NO2 and links it to Parkinson's disease, meeting all inclusion criteria."
The impact of heme oxygenase-2 on pharmacological research: A bibliometric analysis and beyond,2023,"Mancuso, C.",N,The study does not mention any air pollutants or link them to Parkinson's disease.
The impact of long-term exposure to ambient air pollution and second-hand smoke on the onset of Parkinson disease: a review and meta-analysis,2020,"Han, C.; Lu, Y.; Cheng, H.; Wang, C.; Chan, P.",N,"This is a systematic review and meta-analysis, not an observational study."
The inducible nitric oxide synthase inhibitor BBS-2 prevents acute lung injury in sheep after burn and smoke inhalation injury,2003,"Enkhbaatar, Perenlei; Murakami, Kazunori; Shimoda, Katsumi; Mizutani, Akio; Traber, Lillian; Phillips, Gary B.; Parkinson, John F.; Cox, Robert; Hawkins, Hal; Herndon, David; Traber, Daniel",N,The study focuses on sheep and does not involve human populations or mention Parkinson's disease.
The Maralinga Rehabilitation Project: final report,2004,"Parkinson, Alan",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on a nuclear site rehabilitation."
The neurological aspects of carbon monoxide poisoning,2023,"Asan, F.; Delil, M.S.",N,"Parkinson's is mentioned, but the study focuses on CO poisoning rather than its relationship with air pollution."
The neuropathology of manganese-induced Parkinsonism,2007,"Perl, Daniel P.; Olanow, C. Warren",N,"The study focuses on manganese-induced parkinsonism, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
The NOS/sGC pathway in the rat central nervous system: A microdialysis overview,2004,"Pepicelli, O.; Raiteri, M.; Fedele, E.",N,The study does not mention any of the specified air pollutants or Parkinson's as an adverse health outcome.
"The nucleotide-binding domain, leucine-rich repeat protein 3 inflammasome/IL-1 receptor I axis mediates innate, but not adaptive, immune responses after exposure to particulate matter under 10 μm",2015,"Hirota, Jeremy A.; Gold, Matthew J.; Hiebert, Paul R.; Parkinson, Leigh G.; Wee, Tracee; Smith, Dirk; Hansbro, Phil M.; Carlsten, Chris; VanEeden, Stephan; Sin, Don D.; McNagny, Kelly M.; Knight, Darryl A.",N,"No mention of the required air pollutants CO, O3, NO2 or Parkinson's as an adverse health outcome."
